,latitude,longitude,name
123,1.320612586,103.8443315,SQUARE 2
124,1.294091467,103.8508213,STAMFORD HOUSE
125,1.448226538,103.8194621,SUN PLAZA
126,1.377897277,103.7390155,SUNSHINE PLACE
127,1.295466756,103.858585,SUNTEC CITY
128,1.334844875,103.720462,TAMAN JURONG SHOPPING CENTRE
129,1.354323212,103.9451412,TAMPINES 1
130,1.352580252,103.9446962,TAMPINES MALL
131,1.304853421,103.8238835,TANGLIN MALL
132,1.304950056,103.8329711,TANGS
133,1.276609528,103.8461808,TANJONG PAGAR CENTRE
134,1.30617773,103.85061,TEKKA CENTRE
135,1.299202264,103.847832,THE CATHAY
136,1.301978045,103.8397589,THE CENTREPOINT
137,1.315496754,103.7645702,THE CLEMENTI MALL
138,1.30085585,103.8624659,THE CONCOURSE
139,1.284731412,103.8432034,THE MAJESTIC
140,1.284234913,103.8589822,THE SHOPPES AT MARINA BAY SANDS
141,1.30697044,103.7884203,THE STAR VISTA
142,1.338730664,103.87167,THE WOODLEIGH MALL
143,1.354325242,103.8303281,THOMSON PLAZA
144,1.2864712,103.8271583,TIONG BAHRU PLAZA
145,1.353480883,103.8788284,UPPER SERANGOON SHOPPING CENTRE
146,1.319789492,103.8440336,VELOCITY
147,1.430757656,103.7938526,VISTA POINT
148,1.264394681,103.8218086,VIVOCITY
149,1.406426163,103.9022381,WATERWAY POINT
150,1.303742583,103.7660929,WEST COAST PLAZA
151,1.350189166,103.749022,WEST MALL
152,1.33428313,103.7428701,WESTGATE
153,1.30453636,103.8307142,WHEELOCK PLACE
154,1.372398981,103.9497492,WHITE SANDS
155,1.303698907,103.8331896,WISMA ATRIA
156,1.316462384,103.896748,WISMA GEYLANG SERAI
157,1.417999263,103.8412365,WISTERIA MALL
158,1.44564787,103.7981623,WOODLANDS MART
159,1.442845701,103.7908258,WOODLANDS NORTH PLAZA
160,1.397057415,103.7466621,YEW TEE POINT
161,1.398047362,103.7470848,YEW TEE SQUARE
162,1.284807718,103.8434839,YUE HWA BUILDING
163,1.326945045,103.8465544,ZHONGSHAN MALL
164,1.3023159,103.8623317,CITY GATE
165,1.2888386,103.846558,THE CENTRAL
166,1.4299181,103.8364202,GOLDEN VILLAGE - YISHUN TEN
167,1.3105635,103.7961072,RAFFLES HOLLAND V MALL
168,1.3330614,103.7435037,JEM
169,1.3101122,103.8552908,MUSTAFA CENTRE
170,1.3058098,103.8315073,SHAW HOUSE
171,1.3171945,103.8436114,UNITED SQUARE
172,1.3651149,103.8651595,MYVILLAGE @ SERANGOON
173,1.302465419,103.8625132,City Gate Mall
174,1.3102775,103.7953712,"Holland Avenue, Holland Road Shopping Centre, Singapore"
175,1.3029831,103.8362839,Knightsbridge
176,1.3004674,103.8505561,Sunshine Plaza
177,1.291185,103.8511843,The Adelphi
178,1.3314971,103.868214,The Poiz Centre
179,1.3534166,103.8355472,Thomson V2
180,1.373027758,103.8476555,Djitsun Mall AMK
181,1.304907841,103.9046894,Katong Square
182,1.304190416,103.9043526,Roxy Square
183,1.318902997,103.8940597,Singpost Centre
184,1.319552166,103.8942838,City Plaza
185,1.435001826,103.7867693,Woodlands Civic Centre
186,1.372088132,103.8459766,Broadway Plaza
187,1.371852658,103.8476322,Jubilee Square
188,1.433555903,103.7797635,Marsiling Mall
189,1.384852683,103.8820015,Buangkok Square Mall
190,1.379709758,103.8880071,Hougang Green Shopping Mall
191,1.362798139,103.894716,Hougang Rivercourt
192,1.338939864,103.7786865,Bukit Timah Plaza
193,1.377665738,103.7444584,Keat Hong Shopping Centre
194,1.358395866,103.7678365,The Rail Mall
195,1.381384089,103.7524147,Teck Whye Shopping Centre
196,1.287602046,103.8052123,Alexandra Central
197,1.314441683,103.7651584,Grantral Mall
198,1.33821219,103.7934847,OD Mall
199,1.346295801,103.7125527,Boon Lay Shopping Centre
