"","PA","SZ","YOUNG","ECONOMY ACTIVE","AGED","TOTAL","DEPENDENCY"
"1937","TOA PAYOH","JOO SENG",220,580,400,3242,1.06896551724138
"1938","TOA PAYOH","JOO SENG",290,650,340,3292,0.969230769230769
"1939","TOA PAYOH","JOO SENG",70,230,20,2352,0.391304347826087
"1940","TOA PAYOH","JOO SENG",200,490,80,2762,0.571428571428571
"1941","TOA PAYOH","JOO SENG",0,20,10,2062,0.5
"1942","TOA PAYOH","JOO SENG",70,220,120,2452,0.863636363636364
"1943","TOA PAYOH","JOO SENG",280,590,340,3232,1.05084745762712
"1944","TOA PAYOH","JOO SENG",360,620,290,3252,1.04838709677419
"1945","TOA PAYOH","JOO SENG",80,210,20,2332,0.476190476190476
"1946","TOA PAYOH","JOO SENG",240,450,80,2742,0.711111111111111
"1947","TOA PAYOH","JOO SENG",10,20,0,2062,0.5
"1948","TOA PAYOH","KIM KEAT",0,10,130,2162,13
"1949","TOA PAYOH","KIM KEAT",200,600,380,3182,0.966666666666667
"1950","TOA PAYOH","KIM KEAT",200,490,310,3002,1.04081632653061
"1951","TOA PAYOH","KIM KEAT",230,750,520,3552,1
"1952","TOA PAYOH","KIM KEAT",220,650,370,3212,0.907692307692308
"1953","TOA PAYOH","KIM KEAT",210,470,260,2922,1
"1954","TOA PAYOH","KIM KEAT",260,760,390,3422,0.855263157894737
"1955","TOA PAYOH","LORONG 8 TOA PAYOH",20,60,50,2162,1.16666666666667
"1956","TOA PAYOH","LORONG 8 TOA PAYOH",170,460,290,2932,1
"1957","TOA PAYOH","LORONG 8 TOA PAYOH",140,450,380,3012,1.15555555555556
"1958","TOA PAYOH","LORONG 8 TOA PAYOH",230,640,480,3362,1.109375
"1959","TOA PAYOH","LORONG 8 TOA PAYOH",10,50,100,2192,2.2
"1960","TOA PAYOH","LORONG 8 TOA PAYOH",200,410,250,2852,1.09756097560976
"1961","TOA PAYOH","LORONG 8 TOA PAYOH",150,460,270,2892,0.91304347826087
"1962","TOA PAYOH","LORONG 8 TOA PAYOH",230,670,450,3332,1.01492537313433
"1963","TOA PAYOH","PEI CHUN",10,30,70,2132,2.66666666666667
"1964","TOA PAYOH","PEI CHUN",360,770,320,3412,0.883116883116883
"1965","TOA PAYOH","PEI CHUN",90,190,80,2392,0.894736842105263
"1966","TOA PAYOH","PEI CHUN",430,1170,910,4542,1.14529914529915
"1967","TOA PAYOH","PEI CHUN",130,330,230,2712,1.09090909090909
"1968","TOA PAYOH","PEI CHUN",10,50,100,2192,2.2
"1969","TOA PAYOH","PEI CHUN",340,660,280,3242,0.939393939393939
"1970","TOA PAYOH","PEI CHUN",110,190,70,2362,0.947368421052632
"1971","TOA PAYOH","PEI CHUN",420,1230,720,4372,0.926829268292683
"1972","TOA PAYOH","PEI CHUN",140,310,200,2642,1.09677419354839
"1973","TOA PAYOH","PEI CHUN",0,10,0,2032,0
"1974","TOA PAYOH","POTONG PASIR",10,140,10,2182,0.142857142857143
"1975","TOA PAYOH","POTONG PASIR",280,740,500,3562,1.05405405405405
"1976","TOA PAYOH","POTONG PASIR",180,380,190,2762,0.973684210526316
"1977","TOA PAYOH","POTONG PASIR",260,1120,1000,4482,1.125
"1978","TOA PAYOH","POTONG PASIR",160,480,250,2922,0.854166666666667
"1979","TOA PAYOH","POTONG PASIR",90,80,0,2142,1.125
"1980","TOA PAYOH","POTONG PASIR",0,100,10,2142,0.1
"1981","TOA PAYOH","POTONG PASIR",380,780,450,3582,1.06410256410256
"1982","TOA PAYOH","POTONG PASIR",240,420,170,2812,0.976190476190476
"1983","TOA PAYOH","POTONG PASIR",380,1070,720,4192,1.02803738317757
"1984","TOA PAYOH","POTONG PASIR",210,480,190,2892,0.833333333333333
"1985","TOA PAYOH","SENNETT",10,110,240,2392,2.27272727272727
"1986","TOA PAYOH","SENNETT",290,520,120,2922,0.788461538461538
"1987","TOA PAYOH","SENNETT",490,1030,620,4092,1.07766990291262
"1988","TOA PAYOH","SENNETT",210,850,190,3292,0.470588235294118
"1989","TOA PAYOH","SENNETT",870,2040,100,4912,0.475490196078431
"1990","TOA PAYOH","SENNETT",0,90,160,2282,1.77777777777778
"1991","TOA PAYOH","SENNETT",360,530,80,2932,0.830188679245283
"1992","TOA PAYOH","SENNETT",490,920,570,3952,1.15217391304348
"1993","TOA PAYOH","SENNETT",210,730,170,3132,0.520547945205479
"1994","TOA PAYOH","SENNETT",1010,2040,80,4992,0.534313725490196
"1995","TOA PAYOH","SENNETT",10,30,40,2102,1.66666666666667
"1996","TOA PAYOH","TOA PAYOH CENTRAL",220,440,350,2992,1.29545454545455
"1997","TOA PAYOH","TOA PAYOH CENTRAL",1100,2350,830,6252,0.821276595744681
"1998","TOA PAYOH","TOA PAYOH CENTRAL",590,1270,530,4332,0.881889763779528
"1999","TOA PAYOH","TOA PAYOH CENTRAL",430,1530,1020,5062,0.947712418300654
"2000","TOA PAYOH","TOA PAYOH CENTRAL",800,1970,930,5732,0.878172588832487
"2001","TOA PAYOH","TOA PAYOH CENTRAL",0,20,30,2082,1.5
"2002","TOA PAYOH","TOA PAYOH CENTRAL",240,490,400,3102,1.30612244897959
"2003","TOA PAYOH","TOA PAYOH CENTRAL",1100,2100,660,5752,0.838095238095238
"2004","TOA PAYOH","TOA PAYOH CENTRAL",510,1110,520,4062,0.927927927927928
"2005","TOA PAYOH","TOA PAYOH CENTRAL",410,1240,720,4452,0.911290322580645
"2006","TOA PAYOH","TOA PAYOH CENTRAL",800,1740,650,5182,0.833333333333333
"2007","TOA PAYOH","TOA PAYOH CENTRAL",10,30,60,2122,2.33333333333333
"2008","TOA PAYOH","TOA PAYOH WEST",0,70,230,2332,3.28571428571429
"2009","TOA PAYOH","TOA PAYOH WEST",30,70,50,2182,1.14285714285714
"2010","TOA PAYOH","TOA PAYOH WEST",480,1040,560,4072,1
"2011","TOA PAYOH","TOA PAYOH WEST",430,1730,1370,5632,1.04046242774566
"2012","TOA PAYOH","TOA PAYOH WEST",370,690,170,3182,0.782608695652174
"2013","TOA PAYOH","TOA PAYOH WEST",0,30,30,2092,1
"2014","TOA PAYOH","TOA PAYOH WEST",20,50,170,2272,3.8
"2015","TOA PAYOH","TOA PAYOH WEST",30,80,30,2152,0.75
"2016","TOA PAYOH","TOA PAYOH WEST",460,930,540,3892,1.0752688172043
"2017","TOA PAYOH","TOA PAYOH WEST",540,1610,900,5092,0.894409937888199
"2018","TOA PAYOH","TOA PAYOH WEST",320,610,140,3042,0.754098360655738
"2019","TOA PAYOH","TOA PAYOH WEST",0,30,10,2072,0.333333333333333
"2020","TOA PAYOH","WOODLEIGH",0,50,0,2072,0
"2021","TOA PAYOH","WOODLEIGH",130,210,40,2402,0.80952380952381
"2022","TOA PAYOH","WOODLEIGH",180,400,180,2762,0.9
"2023","TOA PAYOH","WOODLEIGH",20,60,10,2122,0.5
"2024","TOA PAYOH","WOODLEIGH",60,120,20,2232,0.666666666666667
"2025","TOA PAYOH","WOODLEIGH",0,10,0,2032,0
"2026","TOA PAYOH","WOODLEIGH",0,30,0,2062,0
"2027","TOA PAYOH","WOODLEIGH",130,190,40,2372,0.894736842105263
"2028","TOA PAYOH","WOODLEIGH",200,360,170,2732,1.02777777777778
"2029","TOA PAYOH","WOODLEIGH",20,50,0,2092,0.4
"2030","TOA PAYOH","WOODLEIGH",60,130,20,2222,0.615384615384615
"2031","WESTERN WATER CATCHMENT","MURAI",140,230,30,2362,0.739130434782609
"2032","WESTERN WATER CATCHMENT","MURAI",80,180,30,2292,0.611111111111111
"2033","WOODLANDS","GREENWOOD PARK",20,40,0,2082,0.5
"2034","WOODLANDS","GREENWOOD PARK",0,10,0,2042,0
"2035","WOODLANDS","MIDVIEW",210,280,230,2702,1.57142857142857
"2036","WOODLANDS","MIDVIEW",1190,2730,730,6412,0.703296703296703
"2037","WOODLANDS","MIDVIEW",1950,4190,1120,8742,0.732696897374702
"2038","WOODLANDS","MIDVIEW",120,280,100,2502,0.785714285714286
"2039","WOODLANDS","MIDVIEW",1350,3030,650,6792,0.66006600660066
"2040","WOODLANDS","MIDVIEW",230,310,220,2692,1.45161290322581
"2041","WOODLANDS","MIDVIEW",1240,2770,720,6442,0.707581227436823
"2042","WOODLANDS","MIDVIEW",2050,4240,1210,8802,0.768867924528302
"2043","WOODLANDS","MIDVIEW",140,280,80,2502,0.785714285714286
"2044","WOODLANDS","MIDVIEW",1550,2980,660,6862,0.741610738255034
"2045","WOODLANDS","MIDVIEW",0,10,60,2092,6
"2046","WOODLANDS","NORTH COAST",50,40,10,2102,1.5
"2047","WOODLANDS","NORTH COAST",170,460,250,2882,0.91304347826087
"2048","WOODLANDS","NORTH COAST",80,190,100,2372,0.947368421052632
"2049","WOODLANDS","NORTH COAST",360,930,560,3842,0.989247311827957
"2050","WOODLANDS","NORTH COAST",500,1380,710,4512,0.876811594202899
"2051","WOODLANDS","NORTH COAST",60,50,20,2132,1.6
"2052","WOODLANDS","NORTH COAST",170,460,270,2892,0.956521739130435
"2053","WOODLANDS","NORTH COAST",80,200,100,2382,0.9
"2054","WOODLANDS","NORTH COAST",400,1030,560,3962,0.932038834951456
"2055","WOODLANDS","NORTH COAST",610,1400,720,4612,0.95
"2056","WOODLANDS","WOODGROVE",90,330,130,2602,0.666666666666667
"2057","WOODLANDS","WOODGROVE",1240,2950,860,6852,0.711864406779661
"2058","WOODLANDS","WOODGROVE",2000,4290,1270,9152,0.762237762237762
"2059","WOODLANDS","WOODGROVE",220,590,250,3042,0.796610169491525
"2060","WOODLANDS","WOODGROVE",680,1690,590,4832,0.751479289940828
"2061","WOODLANDS","WOODGROVE",0,20,60,2112,3
"2062","WOODLANDS","WOODGROVE",70,300,100,2512,0.566666666666667
"2063","WOODLANDS","WOODGROVE",1320,3040,860,6942,0.717105263157895
"2064","WOODLANDS","WOODGROVE",2140,4270,1290,9122,0.80327868852459
"2065","WOODLANDS","WOODGROVE",220,580,210,3012,0.741379310344828
"2066","WOODLANDS","WOODGROVE",720,1710,560,4882,0.748538011695906
"2067","WOODLANDS","WOODGROVE",0,20,90,2142,4.5
"2068","WOODLANDS","WOODLANDS EAST",430,820,470,3672,1.09756097560976
"2069","WOODLANDS","WOODLANDS EAST",5950,12170,3010,22412,0.736236647493837
"2070","WOODLANDS","WOODLANDS EAST",3850,7870,2130,15002,0.759847522236341
"2071","WOODLANDS","WOODLANDS EAST",430,740,150,3282,0.783783783783784
"2072","WOODLANDS","WOODLANDS EAST",3690,7630,1710,14492,0.707732634338139
"2073","WOODLANDS","WOODLANDS EAST",480,820,450,3712,1.13414634146341
"2074","WOODLANDS","WOODLANDS EAST",6360,12190,3060,22662,0.772764561115669
"2075","WOODLANDS","WOODLANDS EAST",4040,7810,2310,15112,0.813060179257362
"2076","WOODLANDS","WOODLANDS EAST",420,670,130,3162,0.82089552238806
"2077","WOODLANDS","WOODLANDS EAST",3920,7510,1650,14452,0.74167776298269
"2078","WOODLANDS","WOODLANDS EAST",0,20,100,2152,5
"2079","WOODLANDS","WOODLANDS SOUTH",190,400,330,2952,1.3
"2080","WOODLANDS","WOODLANDS SOUTH",2850,5370,1290,11172,0.770949720670391
"2081","WOODLANDS","WOODLANDS SOUTH",1760,3410,910,7812,0.782991202346041
"2082","WOODLANDS","WOODLANDS SOUTH",220,390,90,2692,0.794871794871795
"2083","WOODLANDS","WOODLANDS SOUTH",1170,2190,360,5572,0.698630136986301
"2084","WOODLANDS","WOODLANDS SOUTH",210,420,340,2972,1.30952380952381
"2085","WOODLANDS","WOODLANDS SOUTH",3110,5490,1200,11322,0.785063752276867
"2086","WOODLANDS","WOODLANDS SOUTH",1990,3440,920,7902,0.845930232558139
"2087","WOODLANDS","WOODLANDS SOUTH",220,360,70,2632,0.805555555555556
"2088","WOODLANDS","WOODLANDS SOUTH",1190,2130,370,5512,0.732394366197183
"2089","WOODLANDS","WOODLANDS WEST",720,1250,750,4582,1.176
"2090","WOODLANDS","WOODLANDS WEST",560,1130,310,3932,0.769911504424779
"2091","WOODLANDS","WOODLANDS WEST",840,2090,850,5612,0.808612440191388
"2092","WOODLANDS","WOODLANDS WEST",870,2140,1010,5912,0.878504672897196
"2093","WOODLANDS","WOODLANDS WEST",1100,2680,940,6552,0.761194029850746
"2094","WOODLANDS","WOODLANDS WEST",0,10,10,2052,1
"2095","WOODLANDS","WOODLANDS WEST",750,1380,940,4922,1.22463768115942
"2096","WOODLANDS","WOODLANDS WEST",550,1090,300,3862,0.779816513761468
"2097","WOODLANDS","WOODLANDS WEST",930,2140,810,5622,0.813084112149533
"2098","WOODLANDS","WOODLANDS WEST",910,2230,910,5922,0.816143497757848
"2099","WOODLANDS","WOODLANDS WEST",1280,2790,940,6752,0.795698924731183
"2100","WOODLANDS","WOODLANDS WEST",0,30,100,2152,3.33333333333333
"2101","YISHUN","KHATIB",0,10,100,2132,10
"2102","YISHUN","KHATIB",200,620,310,3132,0.82258064516129
"2103","YISHUN","KHATIB",340,960,470,3762,0.84375
"2104","YISHUN","KHATIB",200,590,320,3112,0.88135593220339
"2105","YISHUN","KHATIB",170,560,310,3022,0.857142857142857
"2106","YISHUN","KHATIB",10,20,90,2132,5
"2107","YISHUN","KHATIB",240,610,310,3132,0.901639344262295
"2108","YISHUN","KHATIB",400,890,500,3762,1.01123595505618
"2109","YISHUN","KHATIB",190,470,270,2942,0.978723404255319
"2110","YISHUN","KHATIB",150,460,280,2912,0.934782608695652
"2111","YISHUN","LOWER SELETAR",280,440,140,2812,0.954545454545455
"2112","YISHUN","LOWER SELETAR",1190,2010,230,5162,0.706467661691542
"2113","YISHUN","LOWER SELETAR",270,460,100,2802,0.804347826086957
"2114","YISHUN","LOWER SELETAR",360,800,160,3302,0.65
"2115","YISHUN","LOWER SELETAR",1260,2470,240,5742,0.607287449392713
"2116","YISHUN","LOWER SELETAR",330,450,140,2872,1.04444444444444
"2117","YISHUN","LOWER SELETAR",1240,1860,210,5112,0.779569892473118
"2118","YISHUN","LOWER SELETAR",320,450,100,2812,0.933333333333333
"2119","YISHUN","LOWER SELETAR",350,720,140,3182,0.680555555555556
"2120","YISHUN","LOWER SELETAR",1380,2390,200,5702,0.661087866108787
"2121","YISHUN","NEE SOON",30,60,0,2122,0.5
"2122","YISHUN","NEE SOON",80,160,80,2342,1
"2123","YISHUN","NEE SOON",40,60,10,2132,0.833333333333333
"2124","YISHUN","NEE SOON",70,140,70,2292,1
"2125","YISHUN","NORTHLAND",210,320,120,2612,1.03125
"2126","YISHUN","NORTHLAND",620,1370,700,4642,0.963503649635037
"2127","YISHUN","NORTHLAND",580,1280,570,4322,0.8984375
"2128","YISHUN","NORTHLAND",590,1680,990,5252,0.94047619047619
"2129","YISHUN","NORTHLAND",1110,2820,1240,7002,0.833333333333333
"2130","YISHUN","NORTHLAND",0,30,0,2052,0
"2131","YISHUN","NORTHLAND",220,350,160,2672,1.08571428571429
"2132","YISHUN","NORTHLAND",650,1440,640,4622,0.895833333333333
"2133","YISHUN","NORTHLAND",600,1250,540,4292,0.912
"2134","YISHUN","NORTHLAND",600,1610,790,4972,0.863354037267081
"2135","YISHUN","NORTHLAND",1220,2840,1220,7132,0.859154929577465
"2136","YISHUN","NORTHLAND",0,30,0,2052,0
"2137","YISHUN","SPRINGLEAF",530,1070,560,4132,1.01869158878505
"2138","YISHUN","SPRINGLEAF",600,1050,600,4142,1.14285714285714
"2139","YISHUN","YISHUN CENTRAL",40,120,0,2192,0.333333333333333
"2140","YISHUN","YISHUN CENTRAL",140,310,120,2572,0.838709677419355
"2141","YISHUN","YISHUN CENTRAL",60,190,110,2382,0.894736842105263
"2142","YISHUN","YISHUN CENTRAL",60,140,30,2262,0.642857142857143
"2143","YISHUN","YISHUN CENTRAL",70,110,30,2242,0.909090909090909
"2144","YISHUN","YISHUN CENTRAL",20,110,10,2172,0.272727272727273
"2145","YISHUN","YISHUN CENTRAL",140,300,110,2552,0.833333333333333
"2146","YISHUN","YISHUN CENTRAL",90,170,100,2362,1.11764705882353
"2147","YISHUN","YISHUN CENTRAL",50,130,20,2232,0.538461538461538
"2148","YISHUN","YISHUN CENTRAL",70,130,20,2232,0.692307692307692
"2149","YISHUN","YISHUN EAST",470,1060,860,4372,1.25471698113208
"2150","YISHUN","YISHUN EAST",2580,5440,1510,11102,0.751838235294118
"2151","YISHUN","YISHUN EAST",1130,2380,900,6172,0.852941176470588
"2152","YISHUN","YISHUN EAST",1080,2550,760,6312,0.72156862745098
"2153","YISHUN","YISHUN EAST",3660,7520,1260,13712,0.654255319148936
"2154","YISHUN","YISHUN EAST",480,1070,900,4442,1.28971962616822
"2155","YISHUN","YISHUN EAST",2750,5290,1500,10972,0.803402646502836
"2156","YISHUN","YISHUN EAST",1180,2360,900,6212,0.88135593220339
"2157","YISHUN","YISHUN EAST",1140,2230,640,5902,0.798206278026906
"2158","YISHUN","YISHUN EAST",3840,7310,1120,13542,0.678522571819425
"2159","YISHUN","YISHUN SOUTH",120,360,140,2682,0.722222222222222
"2160","YISHUN","YISHUN SOUTH",1480,3780,1630,8722,0.822751322751323
"2161","YISHUN","YISHUN SOUTH",1390,3230,1560,8022,0.913312693498452
"2162","YISHUN","YISHUN SOUTH",430,1260,720,4402,0.912698412698413
"2163","YISHUN","YISHUN SOUTH",1320,3250,1030,7502,0.723076923076923
"2164","YISHUN","YISHUN SOUTH",140,360,130,2652,0.75
"2165","YISHUN","YISHUN SOUTH",1670,3570,1530,8532,0.896358543417367
"2166","YISHUN","YISHUN SOUTH",1470,3100,1490,7782,0.954838709677419
"2167","YISHUN","YISHUN SOUTH",430,1110,570,4062,0.900900900900901
"2168","YISHUN","YISHUN SOUTH",1460,3250,940,7422,0.738461538461539
"2169","YISHUN","YISHUN SOUTH",0,10,70,2102,7
"2170","YISHUN","YISHUN WEST",150,290,220,2652,1.27586206896552
"2171","YISHUN","YISHUN WEST",990,2100,820,5842,0.861904761904762
"2172","YISHUN","YISHUN WEST",890,1890,770,5432,0.878306878306878
"2173","YISHUN","YISHUN WEST",1480,4260,2470,10192,0.927230046948357
"2174","YISHUN","YISHUN WEST",2060,5390,2710,12022,0.884972170686456
"2175","YISHUN","YISHUN WEST",0,30,90,2152,3
"2176","YISHUN","YISHUN WEST",170,330,200,2682,1.12121212121212
"2177","YISHUN","YISHUN WEST",1070,2140,780,5842,0.864485981308411
"2178","YISHUN","YISHUN WEST",910,1840,700,5282,0.875
"2179","YISHUN","YISHUN WEST",1630,4290,2080,9932,0.864801864801865
"2180","YISHUN","YISHUN WEST",2130,5370,2470,11752,0.856610800744879
"2181","YISHUN","YISHUN WEST",10,70,210,2322,3.14285714285714
